G22,G23(L-MRDA)
6.11793,2.514975745159745
301.652,297.66823593863387
104.832,101.102524711971
22.4662,19.840739393946023
4.83867,1.1093855182723473
10.3684,11.293452552513145
321.222,317.59715298590436
105.765,101.77487025761911
54.8225,53.01327624016449
206.312,205.317671081674
1.31541,1.018731871606633
4.83867,1.1093855182723473
6.34556,1.8992816226650575
2.40218,1.8745574326142105
105.773,101.38627136132504
21.2218,19.675431641409205
252.422,248.54031148320178
11.9552,11.427526739877749
2.30971,0.7455881717417014
106.244,202.14200869272327
2.0901,0.9192659114034996
54.8225,53.00585221997267
23.3844,20.42510284222294
54.8318,53.03068865681439
1006.34,1001.8971647216013
